Categoria,Marca,Modelo,Versão,Motor,Tipo de Propulsão (Combustão / Híbrido / Plug-in / Elétrico),Transmissão e Velocidades (Manual=M / Automática=A / Dupla Embreagem=DCT / Automatizada=MTA / Contínua=CVT),Ar Condicionado (S=Sim / N=Não),Direção Assistida (H=Hidráulica / M=Mecânica / E=Elétrica / E-H=Eletro-hidráulica),Combustível (E=Elétrico / G=Gasolina / F=Flex / D=Diesel),Emissões Poluentes - NMOG+NOx (mg/km),Emissões Poluentes - CO (mg/km),Emissões Poluentes - CHO Aldeídos (mg/km),Emissões Poluentes - Redução Relativa ao Limite (A=≥40% abaixo PROCONVE L7 / B=<40%),Emissões GEE - CO2 Fóssil Etanol (g/km),Emissões GEE - CO2 Fóssil Gasolina ou Diesel (g/km),Emissões GEE - CO2e Fóssil VEHP Plug-in (g/km),Consumo Etanol - Cidade (km/l),Consumo Etanol - Estrada (km/l),Consumo Gasolina ou Diesel - Cidade (km/l),Consumo Gasolina ou Diesel - Estrada (km/l),Consumo Elétrico - Cidade (km/le),Consumo Elétrico - Estrada (km/le),Consumo Energético (MJ/km),Autonomia Modo Elétrico (km),Classificação PBE - Relativa na Categoria (A=Mais Eficiente / B / C / D / E=Menos Eficiente),Classificação PBE - Absoluta Geral (A=Mais Eficiente / B / C / D / E=Menos Eficiente),Selo CONPET de Eficiência Energética (SIM / NÃO),Transmissão - Tipo,Transmissão - Nº Velocidades,Combustível - Descrição,Consumo Gasolina ou Diesel - Combinado (km/l),Consumo Etanol - Combinado (km/l),Consumo Elétrico - Combinado (km/le),Faixa CO2 Gasolina/Diesel (g/km),Zero Emissão (Elétrico Puro),Eletrificado (Elétrico/Híbrido/Plug-in)
Médio,CHEVROLET,SPIN,1.8L MT LT,1.8L-8V,Combustão,M-6,S,E,F,52.0,411.0,2.0,B,0.0,115.0,,7.5,8.9,10.8,12.8,,,1.87,,D,C,NÃO,M,6.0,Flex,11.7,8.13,,101-150,False,False
Médio,CHEVROLET,SPIN,1.8L MT LT (MY25),1.8L-8V,Combustão,M-6,S,E,F,39.0,396.0,3.0,B,0.0,115.0,,7.7,8.6,11.0,12.5,,,1.87,,D,C,NÃO,M,6.0,Flex,11.68,8.1,,101-150,False,False
Médio,FIAT,CRONOS,1.0,1.0-6V,Combustão,M-5,S,E,F,39.0,377.0,3.0,B,0.0,92.0,,9.8,11.0,13.4,15.6,,,1.47,,A,B,SIM,M,5.0,Flex,14.39,10.34,,51-100,False,False
Médio,FIAT,CRONOS,DRIVE 1.0,1.0-6V,Combustão,M-5,S,E,F,39.0,377.0,3.0,B,0.0,92.0,,9.8,11.0,13.4,15.6,,,1.47,,A,B,SIM,M,5.0,Flex,14.39,10.34,,51-100,False,False
Médio,FIAT,CRONOS,DRIVE 1.0 / 1.0 (MY 25),1.0-6V,Combustão,M-5,S,E,F,34.0,362.0,2.0,B,0.0,89.0,,9.6,11.4,13.5,16.6,,,1.44,,A,B,SIM,M,5.0,Flex,14.9,10.41,,51-100,False,False
Médio,FIAT,CRONOS,DRIVE 1.3,1.3-8V,Combustão,M-5,S,E,F,33.0,174.0,2.0,B,0.0,95.0,,9.0,10.9,12.8,15.5,,,1.53,,A,C,NÃO,M,5.0,Flex,14.02,9.86,,51-100,False,False
Médio,FIAT,CRONOS,DRIVE1.3AT,1.3-8V,Combustão,CVT-7,S,E,F,26.0,156.0,2.0,B,0.0,94.0,,9.3,11.0,13.3,15.0,,,1.5,,A,B,SIM,CVT,7.0,Flex,14.07,10.07,,51-100,False,False
Médio,FIAT,CRONOS,DRIVE1.3AT (MY 25),1.3-8V,Combustão,CVT-7,S,E,F,28.0,297.0,2.0,B,0.0,98.0,,8.8,11.0,12.5,14.8,,,1.57,,B,C,NÃO,CVT,7.0,Flex,13.54,9.79,,51-100,False,False
Médio,FIAT,CRONOS,PREC 1.3AT,1.3-8V,Combustão,CVT-7,S,E,F,26.0,156.0,2.0,B,0.0,94.0,,9.3,11.0,13.3,15.0,,,1.5,,A,B,SIM,CVT,7.0,Flex,14.07,10.07,,51-100,False,False
Médio,FIAT,CRONOS,PREC 1.3AT (MY 25),1.3-8V,Combustão,CVT-7,S,E,F,28.0,297.0,2.0,B,0.0,98.0,,8.8,11.0,12.5,14.8,,,1.57,,B,C,NÃO,CVT,7.0,Flex,13.54,9.79,,51-100,False,False
